level,bot,runs,win_rate,win_rate_se,avg_moves_left_when_won,avg_cascades_per_move,shuffles,avg_score,runs_per_second
01-first-steps,greedy,1000,1.0000,0.0000,6.321,2.376,0,2355.3,2857.1
01-first-steps,random,1000,0.7010,0.0145,2.899,1.110,0,1735.6,14084.5
02-mow-the-lawn,greedy,1000,0.9800,0.0044,5.899,2.173,0,2866.2,2132.2
02-mow-the-lawn,random,1000,0.1670,0.0118,2.269,1.119,0,2325.2,11236.0
03-crates,greedy,1000,0.9080,0.0091,7.183,1.254,1,1770.7,2336.4
03-crates,random,1000,0.2730,0.0141,4.018,0.703,3,1581.3,8771.9
04-thin-ice,greedy,1000,0.8000,0.0126,5.312,0.617,242,1335.6,2638.5
04-thin-ice,random,1000,0.2970,0.0144,3.195,0.412,374,1165.3,7874.0
05-hourglass,greedy,1000,0.5970,0.0155,3.898,0.749,49,1867.0,2257.3
05-hourglass,random,1000,0.0910,0.0091,2.462,0.466,73,1383.9,8474.6
06-cold-storage,greedy,1000,0.4970,0.0158,4.334,0.769,72,1617.9,1639.3
06-cold-storage,random,1000,0.0310,0.0055,3.161,0.482,123,1187.4,6060.6
